cartitem_id,user_id,product_id,quantity,added_date
3,76,143,2,2024-11-02T22:41:57.266432
4,10,202,2,2024-10-17T22:41:57.266437
5,53,228,1,2024-10-27T22:41:57.266442
7,60,309,1,2024-10-18T22:41:57.266454
8,82,155,1,2024-11-04T22:41:57.266461
9,83,358,1,2024-10-29T22:41:57.266467
10,7,293,1,2024-11-05T22:41:57.266472
11,18,154,2,2024-10-19T22:41:57.266477
12,40,350,1,2024-10-31T22:41:57.266482
14,37,212,1,2024-10-17T22:41:57.266492
15,85,275,1,2024-11-09T22:41:57.266496
16,29,360,1,2024-10-23T22:41:57.266501
17,66,153,3,2024-10-14T22:41:57.266506
18,15,390,3,2024-10-29T22:41:57.266511
19,92,192,2,2024-10-28T22:41:57.266516
20,27,269,1,2024-10-23T22:41:57.266521
21,43,380,3,2024-10-27T22:41:57.266525
25,73,116,3,2024-11-11T22:41:57.266544
27,37,395,3,2024-11-07T22:41:57.266553
28,40,116,2,2024-11-02T22:41:57.266558
30,38,190,2,2024-10-21T22:41:57.266567
31,53,397,3,2024-11-06T22:41:57.266572
34,26,309,2,2024-10-19T22:41:57.266587
35,5,283,1,2024-11-09T22:41:57.266602
36,90,301,2,2024-10-30T22:41:57.266608
39,15,264,1,2024-10-16T22:41:57.266622
40,27,168,1,2024-10-24T22:41:57.266627
41,82,252,1,2024-10-24T22:41:57.266631
42,39,378,2,2024-10-17T22:41:57.266636
44,27,337,2,2024-10-25T22:41:57.266646
46,92,129,1,2024-11-01T22:41:57.266655
49,52,140,2,2024-11-06T22:41:57.266669
50,9,359,2,2024-10-19T22:41:57.266673
51,43,166,2,2024-11-03T22:41:57.266678
52,36,358,2,2024-11-02T22:41:57.266683
53,5,218,3,2024-10-30T22:41:57.266687
54,25,231,2,2024-11-01T22:41:57.266692
55,23,155,2,2024-11-11T22:41:57.266697
56,25,187,1,2024-10-18T22:41:57.266702
57,29,131,3,2024-11-01T22:41:57.266706
60,23,187,1,2024-10-15T22:41:57.266720
61,37,102,2,2024-10-25T22:41:57.266724
62,37,264,3,2024-10-27T22:41:57.266729
64,23,364,2,2024-11-02T22:41:57.266738
65,31,124,1,2024-11-09T22:41:57.266744
66,14,166,2,2024-10-28T22:41:57.266749
68,89,376,3,2024-10-18T22:41:57.266759
69,56,226,3,2024-10-21T22:41:57.266767
72,28,316,2,2024-10-21T22:41:57.266801
73,30,135,2,2024-10-28T22:41:57.266807
74,25,320,2,2024-10-13T22:41:57.266812
75,17,150,3,2024-11-02T22:41:57.266817
76,43,173,1,2024-11-07T22:41:57.266821
77,72,367,2,2024-10-18T22:41:57.266826
78,58,126,3,2024-11-08T22:41:57.266831
80,21,117,1,2024-11-10T22:41:57.266841
82,11,256,2,2024-11-10T22:41:57.266859
83,75,250,3,2024-11-05T22:41:57.266863
84,2,231,3,2024-11-10T22:41:57.266868
85,58,392,1,2024-10-20T22:41:57.266872
86,70,143,1,2024-10-22T22:41:57.266877
89,4,273,2,2024-10-31T22:41:57.266891
90,95,399,1,2024-10-23T22:41:57.266895
91,51,213,1,2024-11-09T22:41:57.266900
92,34,251,3,2024-10-19T22:41:57.266904
93,9,191,2,2024-11-10T22:41:57.266909
95,50,192,2,2024-10-25T22:41:57.266922
96,65,223,1,2024-10-24T22:41:57.266930
97,43,160,3,2024-10-31T22:41:57.266940
98,40,117,3,2024-11-11T22:41:57.266947
100,54,262,2,2024-10-17T22:41:57.266969
101,30,167,1,2024-10-26T22:41:57.266974
102,66,224,2,2024-11-09T22:41:57.266978
106,4,351,1,2024-11-03T22:41:57.266997
107,46,198,1,2024-11-01T22:41:57.267002
108,68,192,2,2024-10-25T22:41:57.267006
109,100,395,3,2024-10-31T22:41:57.267011
111,75,257,1,2024-10-16T22:41:57.267021
112,78,300,1,2024-10-21T22:41:57.267026
113,43,204,1,2024-10-22T22:41:57.267031
114,94,240,2,2024-10-24T22:41:57.267036
